epoch,lr-Adam,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
5,,2399,,,0.8828125,0.33677464723587036,,
5,,2449,,,0.9296875,0.2534067630767822,,
5,,2499,,,0.875,0.38658297061920166,,
5,,2549,,,0.890625,0.23151949048042297,,
5,,2579,,,,,0.9097999930381775,0.2598401606082916
,0.0005,2580,,,,,,
6,,2599,,,0.921875,0.2959190607070923,,
6,,2649,,,0.90625,0.2560209631919861,,
6,,2699,,,0.8984375,0.23938803374767303,,
6,,2749,,,0.890625,0.3287378251552582,,
6,,2799,,,0.9140625,0.20388148725032806,,
6,,2849,,,0.9296875,0.18532854318618774,,
6,,2899,,,0.8828125,0.30850982666015625,,
6,,2949,,,0.9375,0.17277038097381592,,
6,,2999,,,0.890625,0.3298548460006714,,
6,,3009,,,,,0.9047999978065491,0.2526620924472809
,0.0005,3010,,,,,,
7,,3049,,,0.8984375,0.2671990394592285,,
7,,3099,,,0.8828125,0.2982562780380249,,
7,,3149,,,0.921875,0.2394433170557022,,
7,,3199,,,0.9140625,0.288501501083374,,
7,,3249,,,0.8671875,0.33074718713760376,,
7,,3299,,,0.9140625,0.2663123607635498,,
7,,3349,,,0.8984375,0.26657241582870483,,
7,,3399,,,0.9296875,0.17497003078460693,,
7,,3439,,,,,0.9114000201225281,0.2442684769630432
,0.0005,3440,,,,,,
8,,3449,,,0.8984375,0.24715866148471832,,
8,,3499,,,0.890625,0.2612914443016052,,
8,,3549,,,0.9296875,0.2235707938671112,,
8,,3599,,,0.90625,0.2480751872062683,,
8,,3649,,,0.890625,0.26171305775642395,,
8,,3699,,,0.90625,0.25948628783226013,,
8,,3749,,,0.84375,0.2974258065223694,,
8,,3799,,,0.9296875,0.20958273112773895,,
8,,3849,,,0.8671875,0.34630051255226135,,
8,,3869,,,,,0.9088000059127808,0.24022068083286285
,0.0005,3870,,,,,,
9,,3899,,,0.921875,0.22522391378879547,,
9,,3949,,,0.8671875,0.33154720067977905,,
9,,3999,,,0.9375,0.1756192296743393,,
9,,4049,,,0.859375,0.4326866567134857,,
9,,4099,,,0.84375,0.31109485030174255,,
9,,4149,,,0.90625,0.24879589676856995,,
9,,4199,,,0.9375,0.15258654952049255,,
9,,4249,,,0.90625,0.24717970192432404,,
9,,4299,,,0.9204545617103577,0.2874027490615845,,
9,,4299,,,,,0.9215999841690063,0.2140689641237259
,0.0005,4300,,,,,,
10,,4349,,,0.8984375,0.3064686059951782,,
10,,4399,,,0.9140625,0.2146925926208496,,
10,,4449,,,0.9140625,0.2430078238248825,,
10,,4499,,,0.8984375,0.2641199231147766,,
10,,4549,,,0.8984375,0.2735643982887268,,
10,,4599,,,0.90625,0.27397263050079346,,
10,,4649,,,0.921875,0.17924928665161133,,
10,,4699,,,0.8828125,0.24367356300354004,,
10,,4729,,,,,0.9204000234603882,0.21216879785060883
,0.0005,4730,,,,,,
11,,4749,,,0.9296875,0.20481082797050476,,
11,,4799,,,0.9609375,0.1401597559452057,,
11,,4849,,,0.875,0.2495688945055008,,
11,,4899,,,0.9296875,0.19094277918338776,,
11,,4949,,,0.890625,0.3368394374847412,,
11,,4999,,,0.875,0.35905778408050537,,
11,,5049,,,0.96875,0.11528614908456802,,
11,,5099,,,0.921875,0.18189257383346558,,
11,,5149,,,0.921875,0.19757750630378723,,
11,,5159,,,,,0.9240000247955322,0.21232256293296814
,0.0005,5160,,,,,,
12,,5199,,,0.9375,0.17329663038253784,,
12,,5249,,,0.921875,0.2746395766735077,,
12,,5299,,,0.8828125,0.26032644510269165,,
12,,5349,,,0.9296875,0.21633189916610718,,
12,,5399,,,0.8984375,0.3010447323322296,,
